slice_name,slice_value,n,top1_correct,topk_contains_truth,hier2_correct,hier4_correct
text_length_slice,short,4321,0.21522795649155288,0.7102522564221245,0.7607035408470262,0.4755843554732701
text_length_slice,long,4255,0.24018801410105758,0.754641598119859,0.7767332549941246,0.4951821386603995
has_brand_like_token,0,920,0.20434782608695654,0.683695652173913,0.7489130434782608,0.48695652173913045
has_brand_like_token,1,7656,0.2304075235109718,0.7381138975966562,0.7710292580982236,0.48510971786833856
has_spec_terms,0,5252,0.20620715917745622,0.7216298552932217,0.7595201827875095,0.49428789032749426
has_spec_terms,1,3324,0.26143200962695545,0.7490974729241877,0.78309265944645,0.4711191335740072
has_digit_heuristic,0,1171,0.18787361229718189,0.6865926558497011,0.7335610589239966,0.5029888983774552
has_digit_heuristic,1,7405,0.2338960162052667,0.7395003376097231,0.7742066171505739,0.4825118163403106
naics_frequency_slice,head,6774,0.2447593740773546,0.780631827576026,0.7906702096250369,0.5321818718630056
naics_frequency_slice,tail,171,0.06432748538011696,0.39766081871345027,0.5087719298245614,0.1871345029239766
