model,metric,n,mean,std
bm25_only,top1_accuracy,1,0.05328824626865672,0.0
bm25_only,recall@10,1,0.18271921641791045,0.0
bm25_only,mrr@10,1,0.0886875610785361,0.0
bm25_only,ndcg@10,1,0.1108200178008895,0.0
bm25_only,hierarchical_accuracy@2,1,0.4047341417910448,0.0
bm25_only,hierarchical_accuracy@4,1,0.10692630597014925,0.0
dense_only,top1_accuracy,1,0.18388526119402984,0.0
dense_only,recall@10,1,0.6844682835820896,0.0
dense_only,mrr@10,1,0.322613587568112,0.0
dense_only,ndcg@10,1,0.40821913740350163,0.0
dense_only,hierarchical_accuracy@2,1,0.7484841417910447,0.0
dense_only,hierarchical_accuracy@4,1,0.4224580223880597,0.0
hybrid_no_rerank,top1_accuracy,1,0.1038945895522388,0.0
hybrid_no_rerank,recall@10,1,0.441464552238806,0.0
hybrid_no_rerank,mrr@10,1,0.18566856935560158,0.0
hybrid_no_rerank,ndcg@10,1,0.24481350831221058,0.0
hybrid_no_rerank,hierarchical_accuracy@2,1,0.6224347014925373,0.0
hybrid_no_rerank,hierarchical_accuracy@4,1,0.25314832089552236,0.0
hybrid_with_rerank,top1_accuracy,1,0.22761194029850745,0.0
hybrid_with_rerank,recall@10,1,0.7322761194029851,0.0
hybrid_with_rerank,mrr@10,1,0.3761636386519785,0.0
hybrid_with_rerank,ndcg@10,1,0.4611280676935076,0.0
hybrid_with_rerank,hierarchical_accuracy@2,1,0.7686567164179104,0.0
hybrid_with_rerank,hierarchical_accuracy@4,1,0.48530783582089554,0.0
