metric,primary_model,baseline_model,n,mean_primary,std_primary,mean_baseline,std_baseline,mean_difference,paired_t_pvalue,wilcoxon_pvalue
top1_accuracy,hybrid_with_rerank,dense_only,1,0.22761194029850745,0.0,0.18388526119402984,0.0,0.04372667910447761,,
recall@10,hybrid_with_rerank,dense_only,1,0.7322761194029851,0.0,0.6844682835820896,0.0,0.04780783582089554,,
mrr@10,hybrid_with_rerank,dense_only,1,0.3761636386519785,0.0,0.322613587568112,0.0,0.05355005108386651,,
ndcg@10,hybrid_with_rerank,dense_only,1,0.4611280676935076,0.0,0.40821913740350163,0.0,0.052908930290005984,,
hierarchical_accuracy@2,hybrid_with_rerank,dense_only,1,0.7686567164179104,0.0,0.7484841417910447,0.0,0.020172574626865725,,
hierarchical_accuracy@4,hybrid_with_rerank,dense_only,1,0.48530783582089554,0.0,0.4224580223880597,0.0,0.06284981343283585,,
top1_accuracy,hybrid_with_rerank,hybrid_no_rerank,1,0.22761194029850745,0.0,0.1038945895522388,0.0,0.12371735074626865,,
recall@10,hybrid_with_rerank,hybrid_no_rerank,1,0.7322761194029851,0.0,0.441464552238806,0.0,0.2908115671641791,,
mrr@10,hybrid_with_rerank,hybrid_no_rerank,1,0.3761636386519785,0.0,0.18566856935560158,0.0,0.1904950692963769,,
ndcg@10,hybrid_with_rerank,hybrid_no_rerank,1,0.4611280676935076,0.0,0.24481350831221058,0.0,0.21631455938129704,,
hierarchical_accuracy@2,hybrid_with_rerank,hybrid_no_rerank,1,0.7686567164179104,0.0,0.6224347014925373,0.0,0.14622201492537312,,
hierarchical_accuracy@4,hybrid_with_rerank,hybrid_no_rerank,1,0.48530783582089554,0.0,0.25314832089552236,0.0,0.23215951492537318,,
top1_accuracy,hybrid_with_rerank,bm25_only,1,0.22761194029850745,0.0,0.05328824626865672,0.0,0.17432369402985073,,
recall@10,hybrid_with_rerank,bm25_only,1,0.7322761194029851,0.0,0.18271921641791045,0.0,0.5495569029850746,,
mrr@10,hybrid_with_rerank,bm25_only,1,0.3761636386519785,0.0,0.0886875610785361,0.0,0.2874760775734424,,
ndcg@10,hybrid_with_rerank,bm25_only,1,0.4611280676935076,0.0,0.1108200178008895,0.0,0.3503080498926181,,
hierarchical_accuracy@2,hybrid_with_rerank,bm25_only,1,0.7686567164179104,0.0,0.4047341417910448,0.0,0.36392257462686567,,
hierarchical_accuracy@4,hybrid_with_rerank,bm25_only,1,0.48530783582089554,0.0,0.10692630597014925,0.0,0.3783815298507463,,
